"districtid","hasMetro","busStopDensity","stopsWithinMetroService","streetDensity","collectorStreetDensity","mainRoadDensity","highWayDensity","busRouteDensity","lineOverlapFactor","peopleDensity","developLevel","developLevelWithinBusService","busAccessibility","laggingIndex","weiboSignin","number","number_level","1","2","3","4","5","index","leafIndex"
72,0,8.031609494,0,0,0.133608769,0.492893194,0,7.67515146,4.386436875,6777.473767,-0.299579561,-0.373440906,7567.974438,3.553396637,378,945,4,0.0588235294117647,0.117647058823529,0.470588235294118,0.147058823529412,0.205882352941176,3,3
73,1,18.11851319,22,0.648803566,0,1.762927419,0,80.53376648,35.41264409,8607.950461,-0.246198796,-0.208785964,6903.507839,3.495461573,6121,1185,5,0,0.137931034482759,0.0344827586206897,0.206896551724138,0.620689655172414,5,5
74,1,15.11147096,19,0.643244228,0,0.471866737,0,24.98971418,8.095100157,8624.000738,-0.276106837,-0.37027173,6693.13039,3.378343613,4663,835,4,0,0.0526315789473684,0.157894736842105,0.526315789473684,0.263157894736842,4,10
75,1,5.657822951,17,0.579674644,0,0.099113724,1.037911334,16.07365695,9.416596849,7068.001338,-0.328792627,-0.353833904,6546.779141,3.522053038,1580,430,2,0.0588235294117647,0.117647058823529,0.470588235294118,0.147058823529412,0.205882352941176,3,3
76,1,6.852999729,23,3.073248961,0.964471344,0.185768177,0.179340879,37.49135472,13.47024697,6889.336036,0.051157155,-0.311223017,6678.018707,3.499840312,5979,718,3,0.0588235294117647,0.117647058823529,0.470588235294118,0.147058823529412,0.205882352941176,3,3
77,0,11.34349062,0,0,0,0,0,22.91680551,5.276102168,8562.926291,-0.299755583,-0.301954892,9928.75888,3.654893331,82,174,1,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
78,0,1.692140683,0,0.053602697,0,0,0.317637784,0.930919051,1.80245671,1794.752786,-0.330953183,-0.41003511,13620.7056,5.095735118,170,130,1,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
79,0,11.7933957,0,0,0,0.58185383,0.491063842,30.53145474,9.396895573,7757.287753,-0.324892418,-0.412131579,10736.2102,3.84657527,158,146,1,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
80,0,2.933178168,0,0,0,0.109874118,0.082854105,6.11306717,4.913513353,7295.608182,-0.332672821,-0.413252907,12153.7454,4.212280062,3,180,1,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
81,0,0.281673121,0,0.384612573,0,0,0.587256935,5.924739506,10.25885316,383.3582091,-0.332302436,-0.38847546,11850.36842,5.359793808,752,913,4,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
82,0,1.131044535,0,0.959202454,0.015818753,0.060758731,0.134947088,2.9406324,8.235889198,1015.095698,-0.320028754,-0.392817941,9200.005219,3.339791045,7128,1038,5,0.533333333333333,0,0.2,0.2,0.0666666666666667,1,9
83,0,3.361113824,0,0.151291046,0.360544268,0.425849079,0.860731754,22.30960817,17.31258609,5189.838633,-0.31921,-0.272674427,7506.946392,3.6176972,2351,639,3,0.0588235294117647,0.117647058823529,0.470588235294118,0.147058823529412,0.205882352941176,3,3
84,0,2.96490113,0,0,0.32902904,0,0.348714985,2.54661385,1.755288058,4614.899006,-0.322119128,-0.367014336,7228.950478,3.580687576,86,463,2,0.0588235294117647,0.117647058823529,0.470588235294118,0.147058823529412,0.205882352941176,3,3
85,1,16.57013501,16,0,0,0.936470175,0,27.40455009,10.30233267,8682.40054,0.592688343,0.156500484,7197.239071,3.609300461,2522,763,3,0,0.0526315789473684,0.157894736842105,0.526315789473684,0.263157894736842,4,10
86,1,20.90996103,22,2.635470883,0,0,0,15.27319562,5.08575279,8650.810524,0.661306435,0.244922631,6448.914626,3.362958371,10964,1244,5,0,0.0714285714285714,0.0714285714285714,0.128571428571429,0.728571428571429,5,1
87,0,18.37297778,0,1.226699058,0,0.146067181,1.433419077,18.42452904,5.535397548,7728.527355,-0.24322799,0.000931354,7334.599044,3.908028003,1116,1353,5,0,0.0526315789473684,0.157894736842105,0.526315789473684,0.263157894736842,4,10
88,0,1.564365424,0,0.719000587,0,0.419355186,0.865616451,3.735650667,6.23922446,1919.706271,-0.313290776,-0.395844278,8250.359973,4.333343536,655,309,1,0.533333333333333,0,0.2,0.2,0.0666666666666667,1,9
89,0,8.568957944,0,0,0.444287683,0,0,28.82450147,16.13453842,8587.248221,-0.177896006,-0.237653085,9810.275956,3.735260246,4095,345,1,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
90,0,2.911644301,0,0.049824363,0,0,0.541351617,5.246075381,6.427659003,2642.305535,-0.332672821,-0.405430461,9821.580556,3.511293299,114,312,1,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
91,0,1.567953743,0,0.171621674,0,0,0.135376426,1.660409612,4.397635758,2497.987947,-0.321327745,-0.395278163,10578.87198,3.496040201,176,691,3,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
95,0,2.143331431,0,1.302330825,0,1.157462612,0.920189821,11.05669865,7.808202602,5691.835948,-0.32847309,-0.408247341,9233.808985,4.042880352,603,412,2,0.255102040816327,0.5,0.102040816326531,0.112244897959184,0.0306122448979592,2,2
96,0,11.33389562,0,2.83098414,0,0.946251897,0,37.81885728,13.0173921,12201.99109,-0.245715119,-0.259678735,8179.598563,3.964437237,897,314,1,0.255102040816327,0.5,0.102040816326531,0.112244897959184,0.0306122448979592,2,2
97,0,25.31229038,0,4.347677664,0,0.973555004,0,32.8093278,8.250907217,14812.64519,0.299627935,0.158379523,8058.703893,3.834904157,7330,344,1,0.0952380952380952,0.428571428571429,0.238095238095238,0.0952380952380952,0.142857142857143,2,8
98,0,5.484746463,0,3.278074766,0,1.649517843,0,39.19568156,18.06877007,2406.760456,-0.315117251,-0.364108286,9028.808299,3.818171602,172,306,1,0.533333333333333,0,0.2,0.2,0.0666666666666667,1,9
99,1,7.661679266,24,0.420925703,1.550288257,0.620852901,0.515495321,52.0836903,17.53956427,7650.797179,-0.302442996,-0.204969982,7362.990457,4.405846814,2193,642,3,0.0588235294117647,0.117647058823529,0.470588235294118,0.147058823529412,0.205882352941176,3,3
100,1,9.911826478,20,0.245925306,0,1.393790818,0.25904074,28.97041973,12.63966101,7874.72778,-0.258289393,-0.045843427,6851.199454,3.72245183,2213,693,3,0.0588235294117647,0.117647058823529,0.470588235294118,0.147058823529412,0.205882352941176,3,3
101,0,8.720934133,0,0.9501133,0,0.580519349,1.297442754,22.2539415,8.721986003,6205.478561,-0.300763452,-0.229193426,7377.358025,3.72012485,1333,1311,5,0.0588235294117647,0.117647058823529,0.470588235294118,0.147058823529412,0.205882352941176,3,3
102,1,26.46559536,16,3.238982602,0,0.231001763,0,23.65584341,9.077251755,8672.186611,0.243188468,0.351257542,6984.983299,3.68088319,1417,874,4,0,0.0714285714285714,0.0714285714285714,0.128571428571429,0.728571428571429,5,1
103,1,12.25081835,20,0,0,0.926122791,0.354140964,25.13485792,12.43029735,6382.610657,-0.311641389,-0.063518403,6611.739605,3.565304385,271,654,3,0.0588235294117647,0.117647058823529,0.470588235294118,0.147058823529412,0.205882352941176,3,3
104,0,6.935192018,0,0,0.144444642,0.069910755,0,10.65075605,6.435854997,4699.532249,-0.313747234,-0.400392865,8363.729295,3.387533529,135,325,1,0.255102040816327,0.5,0.102040816326531,0.112244897959184,0.0306122448979592,2,2
105,0,9.688965572,0,0.4022549,0.357294059,0,0.902132783,25.67538936,10.10861474,7233.764286,-0.309032971,-0.398022812,9333.416496,3.83443404,354,364,1,0.255102040816327,0.5,0.102040816326531,0.112244897959184,0.0306122448979592,2,2
106,0,5.186241937,0,3.252853666,0,0.879077982,0.164164589,12.3290756,7.630203089,5718.964599,-0.30969719,-0.407278598,12161.0414,4.140863781,105,697,3,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
